Маска сварщика FUBAG BLITZ 9-13,4 570 руб
Гибкий вал с вибронаконечником ТСС ВВН 6/50ДУ (дл.6000 мм; диам. 50мм),4 589 руб
Алмазный диск ТСС-350 железобетон (Premium),4 696 руб
Диск для TSS DMD1000,4 722 руб
"Электропривод ТСС ЭП-1,3/220 Ш с УЗО (шестигранник, резьба правая)",4 788 руб
"Рейка к TSS-VT L-1,8",4 788 руб
Сварочный аппарат «Ресанта» САИ 160 К - компакт,4 820 руб
"Электротепловентилятор""Hintek"" серии PROF -06380",4 880 руб
Педаль регулировки тока для TIG сварки,4 921 руб
Алмазный диск ТСС-350 Универсальный (Стандарт),4 921 руб
"Вольфрамовый электрод синий WL20-175/4,0 (10 шт)",4 940 руб
Инвертор сварочный ARC-200,5 054 руб
Гибкий вал с вибронаконечником ТСС ВВН 3/70ДУ (дл.3000 мм; диам. 70мм),5 187 руб
Сварочный инвертор Fubag IQ 160,5 240 руб
Сварочный аппарат «Ресанта» САИ-160,5 370 руб
Гибкий вал с вибронаконечником ТСС ВВН 8/50ДУ (дл.8000 мм; диам. 50мм),5 387 руб
Рейка к TSS-MSD L-1.8,5 605 руб
Сварочный аппарат «Ресанта» САИ 190 К - компакт,5 650 руб
"Электропривод ЭП-1,5/220 с УЗО к глуб. вибратору ТСС",5 719 руб
Гибкий вал с вибронаконечником ТСС ВВН 4/70ДУ (дл.4000 мм; диам. 70мм),5 719 руб
Сварочный инвертор САИ-160 ( ручка),5 841 руб
Сварочный инвертор Fubag IR 160,5 880 руб
Рейка к ТСС ВР-3Б L-1.8,5 985 руб
Сварочный инвертор САИ-160,5 985 руб
Барабан MS8,5 985 руб
Сварочный инвертор Fubag IQ 180,5 996 руб
Сварочный аппарат «Ресанта» САИ-190,6 480 руб
"Электропривод ЭП-2,2/220 с УЗО к глуб. вибратору ТСС",6 584 руб
Сварочный инвертор ТСС САИ-200,6 600 руб
Рейка к TSS-VT L-2.4,6 615 руб
Сварочный инвертор ТСС Компакт-160,6 717 руб
Рейка к TSS-MSD L-2.4,6 726 руб
Алмазный диск ТСС-400 асфальт/бетон (Premium),6 850 руб
Рейка к TSS-VT L-2.0,6 850 руб
Алмазный диск ТСС-450 Универсальный (Стандарт),6 916 руб
Гибкий вал с вибронаконечником ТСС ВВН 6/70ДУ (дл.6000 мм; диам. 70мм),6 916 руб
Сварочный инвертор Fubag IQ 200,6 972 руб
Газовая пушка DLT-FA50P (15 кВт),7 000 руб
Сварочный инвертор ТСС САИ-190,7 049 руб
Сварочный инвертор Fubag IR 180,7 088 руб
Горелка для воздушно-дуговой строжки TBi-600A,7 165 руб
Алмазный диск ТСС-350 Асфальт (Супер Премиум),7 382 руб
